Account Title,Abstracts
Moving towards a more socially sustainable dairy system: public attitudes to dairy system in Brazil ,"Animal welfare is a field of animal science that focuses on evaluating and bettering animal lives by investigating biological functioning, affective states, and ability to live naturally. Animal welfare is a measure that is emerging as a key social concern in animal agriculture and as a result, is becoming more prevalent in industry practices. Nonetheless, there is a significant disconnect between public expectations of animal welfare in dairy farming and actual practices that are occurring. If consumers continue to hold animal welfare in high esteem in dairy production and if the Brazilian dairy industry doesn't change their practices to meet consumer expectations, the dairy industry may be regarded negatively by the public. To avoid such reaction, the Brazilian dairy industry should engage in discussion with the public to initiate a clear path towards establishing methods of care that correspond with public desires. The proposed project aims to facilitate discussion among consumers and producers in a virtual ""town hall"" meeting, allowing for opinions on hot topics in dairy industry to be voiced and for discussion to be had. This project will use discussion to provide farmers and the industry a better basis for making informed decisions about management on farms and policy for the Brazilian dairy industry."
Ecological and evolutionary constraints of plant tolerance to herbivory,"Some plants can tolerate herbivory and tissue damage without reductions in fitness (or yield), yet we know very little about the evolution and ecology of tolerance traits, or even the mechanisms involved in plant compensatory ability. Moreover, we still lack a basic understanding of whether the two components of plant defense against herbivores – resistance (avoiding being eaten) and tolerance (enduring being eaten) – differ in their ecological and evolutionary relationships to plant growth and reproduction. This is despite the fact that the expression and fixation of tolerance responses within plant populations may have immense ecological consequences, e.g. through decreasing the effectiveness of biocontrol agents for invasive weeds, or supporting a more diverse insect community in crops. Indeed, theory suggests that tolerance of herbivory may fundamentally differ from plant resistance in its effects on the population dynamics of insect herbivores and their natural enemies, e.g by avoiding the evolutionary arms race typical in plant-insect resistance evolution. A greater understanding of plant tolerance traits and impact could not only resolve some of the outstanding ecological and evolutionary questions around variation in plant defense and specificity in plant-insect interactions, but also produce an actionable target for plant improvement and protection programs.

My proposed research program's long-term objective is to provide a mechanistic and genetic framework to understand the ecology and evolution of plant tolerance of herbivory. To achieve this, HQP in my lab and I will use field, greenhouse, and laboratory experiments to: 1) Identify biochemical and physiological mechanisms of tolerance; 2) Explore genetic markers for tolerance traits; 2) Determine ecological impacts of tolerance on key biotic interactions; and 3) Compare the evolution of tolerance in plant populations that have experienced ecological and evolutionary divergence. In particular, the comparison of traits among populations that span a gradient of plant-insect interactions (e.g. domesticated crops and their wild relatives), will be a powerful approach to understand the relationships among plant traits and insect population dynamics across ecological and evolutionary time scales. 

There is transformative potential for incorporating the genetic and biochemical mechanisms of plant tolerance to herbivory in plant breeding and crop production. Plant tolerance could have a large impact on plant yields despite high insect loads, and could slow and disrupt the evolution of pest resistance, which underscores the urgency of this research. Indeed, as tolerance responses in plants are likely related to a multitude of stress responses, including to drought, temperature and herbicide application, the products of this research program will be applicable to other plant improvements beyond pest management.
"
Identification of the key regulatory elements of fruit ripening in grapevine (vitis vinifera L.),"In Canada, the grape and wine industry has grown significantly in the past few decades, gaining both domestic and international recognition. The economic value of grapes is strongly related to fruit quality, which is determined by a plethora of compounds that accumulate during fruit ripening. Ripening represents a summation of processes that include molecular, chemical and physical changes. These processes are finely regulated by climatic conditions. 

The goal of my research program is to identify the underlying biological mechanisms (key genes and metabolites) that trigger and regulate ripening in the fruit tissues, as well as the molecular pathways that transduce environmental signals within the plant and modulate cell metabolism and fruit quality. 

My team of students and I will evaluate field and culture treatments to understand which solutes (i.e. sugars, ABA) originating from the plant or synthesized in the berry itself are necessary to induce the major ripening processes (fruit softening, accumulation of pigments and volatile organic compounds) that determine fruit quality. The molecular pathways affected by these treatments will be identified and isolated in order to identify key genes involved in the signaling pathway. The effect of environmental factors such as temperature and light in regulating the level of sugars, ABA and the key signaling genes will be investigated through open field and greenhouse experiments where these factors will be manipulated, and the fruit response will be evaluated at the gene expression and metabolite level.

This program will combine robust field and laboratory experiments with a systems-level characte1ization of developing fruit, also utilizing advanced platforms for transcriptome (RNA-seq) and metabolite (GC-MS, LC-MS, HPLC) analyses. The knowledge generated, integrated with subsequent applied experiments, will benefit grape growers in BC, Ontario and other parts of Canada by developing new practices for improving fruit ripening and optimizing fruit quality in vineyards. 

Finally, the program will provide an excellent training platform in viticulture for M.Sc., Ph.D. and undergraduate students. These HQP will learn and profit from the multidisciplinary nature of this program, which will provide training opportunities to develop research skills in plant biology and genomics, while also advancing knowledge in the field of applied physiology.
"
Unrestricted Research Funds,"Research projects conducted and completed in 2006 and 2007 include studies on the bioactive assessment of black rice extracts, policosinol resins, gamma-linolenic acid (GLA) extracts and Devil's Club. These studies represent assessment of bioactivity and physiological activity in a number of model systems. The project titled above will focus on constructing the final reports for these research activities. Consolation by the applicant with statisticians, web designers and editorial services will be used to complete the reports."
Molecular and Physiological Regulation of Fruit Ripening and Compostion in Grapevine,"The Canadian grape and wine industry has evolved into a strong niche market producing internationally-respected wines, specifically in British Columbia, where the number of wineries and the income they generate have grown steadily in the last 20 years.

The economic value of grapes is strongly related to fruit composition, which is determined by a plethora of compounds that accumulate during fruit ripening. The establishment of a platform for investigating the grape berry metabolism will be critical for understanding the molecular and physiological regulation of fruit ripening and composition. The knowledge generated will be crucial for revealing the molecular and physiological basis of plant-environment interactions and how they determine fruit quality. These outcomes will greatly benefit viticulturists in their struggle to improve fruit quality in vineyards.

The project will address both fundamental and applied aspects of viticulture and will adopt an interdisciplinary approach based on both traditional and innovative designs for resolving the biological complexity underlying fruit ripening and quality. This knowledge will benefit the development of new viticultural practices for optimizing fruit quality in the vineyard, also resulting in a much stronger potential for higher quality and more valuable wine. Overall the project will contribute to the growth of the grape and wine industry of British Columbia and Canada by providing new knowledge for improved grape production.
"
"Inflammation, stress and the conceptus-endometrium cross communication in dairy cows","The decrease in fertility of the lactating dairy cow is multi-factorial and associated with high milk production (Lucy, 2001). Milk production has been associated with physiological changes that can reduce fertility such as accentuated negative energy balance (Wathes et al., 2007), lower concentrations of progesterone and estradiol in plasma (Wiltbank et al., 2006), and disruption of the growth hormone/insulin-growth factor-I axis in the liver early postpartum (Kobayashi et al., 1999). Lactating dairy cows have high fertilization rate of 80 to 90% but only around 35% remain pregnant after 60 days of gestation (Santos et al., 2004; Sartori et al., 2010). The basic mechanisms that lead to this substantial embryonic and fetal loss is not clearly understood at the molecular and cellular levels, particularly in the cross talk between the conceptus and the endometrium. More specifically, I aim to understand the roles of chronic stress and inflammation (i.e. negative energy balance, sub-clinical endometritis, mastitis and lameness) on pregnancy maintenance and related gene and protein expression in the endometrium and conceptus. Some work has addressed mechanisms associated with the generation of a successful pregnancy in ruminants, but little is known about the cellular and molecular changes associated with failure of early and late embryonic development. A recent study of my own (Cerri et al., 2012) demonstrated that novel genes in the endometrium are differentially regulated by lactation in cows maintained under similar metabolic conditions. The results of this and other work suggest that homeorhetic changes associated with initiation of milk production, postpartum diseases, and stress due to management practices affects specific genes and pathways in the endometrium and conceptus. This program will help unveil new mechanisms associated with infertility in lactating dairy cows and propose innovative interventions to circumvent this problem by studying effects of chronic stress and inflammation on endometrium and conceptus gene and protein expression, as well as researching genetic markers tying health and pregnancy loss."
Assessing the welfare of growing dairy calves,"The objectives of this proposal are to answer the following broad questions: 1. Do variations between individual calves in the occurrence of locomotor play and social play reflect variations in welfare due to illness, low energy intakes and/or poor growth? 2. How can we best measure locomotor and social play behaviour to assess the welfare of dairy calves? 3. Can the age at which calves reach certain stages in behavioural development (e.g. replacement of locomotor play by social play, first estrous behaviours, ability to eat solid feeds) be used to assess the welfare of growing animals? Public concern about farm animal welfare has led to welfare standards for farm animals and automated monitoring of behaviour has potential to enable behavioural measures to be used in animal welfare assessments. Poor dairy calf welfare has long term impacts on the productive life of adult cow, so it is important to have good methods to assess their welfare. Most measures used in welfare assessment identify poor welfare, but there is increased interest in using measures of good welfare. Among growing animals, play behaviour has been proposed as a good candidate for a positive welfare indicator. Dairy calves show a variety of locomotor and social play but we need better evidence of the link between play and animal welfare. Most schemes for assessing the welfare of growing animals are based on their state at a particular age. However, it is likely that the welfare of growing animals may be better assessed in terms of how they are developing. This proposed research involves a series of experiments on group housed dairy calves fed by automated feeding systems, to validate the use of measures of social and locomotor play as potential behavioural-based indicators of the good welfare of dairy calves. The link between the timing of the occurrence of various play behaviours, of the ability to eat solid feed and of first estrous will show the extent that the general timing of behavioural development is inter-related and affected by feeding and weaning strategies. The link with the age of later reproductive development may help us understand the problem of delayed reproduction of cattle."
Investigation of heavy metal bioavailability and bioaccesibility in SierraSil® mineral complex and its impacts on inflammation and bioavailability of other medications and natural health products,"SierraSil® mineral products are used to relieve pain and soreness of joints and muscle by athletes or patients with osteoarthritis. This mineral clay is rich in essential and trace minerals, including potentially harmful elements such as arsenic, cadmium, and lead. Therefore, we wish to evaluate the bioaccessibility of these heavy metals using different methods as well as the bioavailability of the minerals using an in vitro Caco-2 monolayer model. It is known that SierraSil® can inhibit joint inflammation, however, there is no current information on its effectiveness to inhibit intestinal inflammation; and furthermore if there are interactions with other medications that could result in adverse reactions. We will use an in vitro inflamed intestinal cell model to investigate the effects of SierraSil® on intestinal inflammation and use Caco-2 monolayer to investigate the effects of SierraSil® on the bioavailability of drugs and natural health products. We expect that only small amount of heavy metals contained in SierraSil® are bioaccessible and bioavailable and it will not significantly interact with other medications. Furthermore, this product can also be used to mitigate intestinal inflammation, an area that has not been heavily investigated before, but of considerable interest to the industry partner."
Characterization and intervention strategies of campylobacter jejuni biofilm in a microfluidic 'lab-on-a-chip' system,"Campylobacter jejuni is the leading cause of foodborne bacterial gastroenteritis in the developed world, with diarrhea often associated with consumption of undercooked poultry products, drinking water and unpasteurized milk. It is estimated that 1% of Canadian population is affected with campylobacteriosis each year, resulting in significant burden on economy because of lost productivity and the potential for serious medical complications. Residing in a biofilm microenvironment is a critical way for this microaerophilic pathogen to survive and transmit into the food chain in stressful conditions, such as the natural aerobic environment, leading to food poisoning. Biofilm formation allows bacteria to grow and survive, as the surface-attached and matrix-encased bacteria are protected. My overall research program is to understand the behavior of C. jejuni in the environment, food systems and animals, and to develop mitigation strategies to reduce campylobacteriosis. The aim of this research proposal is to use novel approach and advanced technology to characterize C. jejuni biofilms and develop intervention strategies. Our central hypothesis is that natural compounds and synthetic polymers can inhibit C. jejuni biofilm formation driven by environmental and genetic factors. Our specific objectives in the first five-year period are to investigate oxygen condition that promotes C. jejuni biofilm formation, to identify and characterize C. jejuni colonization associated proteins involved in biofilm formation, to identify compounds as either antimicrobials or quorum sensing (QS) signal inhibitors, resulting in less C. jejuni biofilms, and to develop molecularly imprinted polymers (MIPs) as QS capturer to inhibit C. jejuni biofilms. We have established a microfluidic ""lab-on-a-chip"" platform coupled with biophysical instruments (i.e., confocal micro-Raman spectroscopy and atomic force microscopy) to cultivate and nondestructively characterize C. jejuni biofilms in a natural state. The work will allow us to better understand biofilm as an important vehicle for C. jejuni to survive during transit between hosts and on food products under unfavorable conditions and to further develop effective strategies to reduce biofilm formation. The studies address fundamental questions of bacterial stress, QS, and gene expression, and the knowledge to be generated is therefore of broad biological interest. The development of QS inhibitors and capturers will suggest new ways that food industry to reduce the prevalence of pathogens. For example, MIPs can be grafted onto food contact surfaces to reduce bacterial biofilms. Pharmaceutical company may also be able to design novel antimicrobials based on new target site (i.e., QS) while do not increase bacterial antibiotic resistance. This research has the potential for significant economic benefit to Canadian food producers and public health while increasing fundamental knowledge on bacterial biofilms that may translate to study other pathogens."
Characterization and intervention strategies of campylobacter jejuni biofilm in a microfluidic 'lab-on-a-chip' system,"Campylobacter jejuni is the leading cause of foodborne bacterial gastroenteritis in the developed world, with diarrhea often associated with consumption of undercooked poultry products, drinking water and unpasteurized milk. It is estimated that 1% of Canadian population is affected with campylobacteriosis each year, resulting in significant burden on economy because of lost productivity and the potential for serious medical complications. Residing in a biofilm microenvironment is a critical way for this microaerophilic pathogen to survive and transmit into the food chain in stressful conditions, such as the natural aerobic environment, leading to food poisoning. Biofilm formation allows bacteria to grow and survive, as the surface-attached and matrix-encased bacteria are protected. My overall research program is to understand the behavior of C. jejuni in the environment, food systems and animals, and to develop mitigation strategies to reduce campylobacteriosis. The aim of this research proposal is to use novel approach and advanced technology to characterize C. jejuni biofilms and develop intervention strategies. Our central hypothesis is that natural compounds and synthetic polymers can inhibit C. jejuni biofilm formation driven by environmental and genetic factors. Our specific objectives in the first five-year period are to investigate oxygen condition that promotes C. jejuni biofilm formation, to identify and characterize C. jejuni colonization associated proteins involved in biofilm formation, to identify compounds as either antimicrobials or quorum sensing (QS) signal inhibitors, resulting in less C. jejuni biofilms, and to develop molecularly imprinted polymers (MIPs) as QS capturer to inhibit C. jejuni biofilms. We have established a microfluidic ""lab-on-a-chip"" platform coupled with biophysical instruments (i.e., confocal micro-Raman spectroscopy and atomic force microscopy) to cultivate and nondestructively characterize C. jejuni biofilms in a natural state. The work will allow us to better understand biofilm as an important vehicle for C. jejuni to survive during transit between hosts and on food products under unfavorable conditions and to further develop effective strategies to reduce biofilm formation. The studies address fundamental questions of bacterial stress, QS, and gene expression, and the knowledge to be generated is therefore of broad biological interest. The development of QS inhibitors and capturers will suggest new ways that food industry to reduce the prevalence of pathogens. For example, MIPs can be grafted onto food contact surfaces to reduce bacterial biofilms. Pharmaceutical company may also be able to design novel antimicrobials based on new target site (i.e., QS) while do not increase bacterial antibiotic resistance. This research has the potential for significant economic benefit to Canadian food producers and public health while increasing fundamental knowledge on bacterial biofilms that may translate to study other pathogens."
Implementation of British Columbia's school nutrition guidelines in Vancouver public schools,"The number of overweight and obese children is on the rise around the world and in Canada. It is thought that, as Canadian children spend a large part of their lives in schools, availability of foods high in sugar, fat, and salt in schools has contributed to this epidemic.

To address this critical public health issue, a number of provinces have developed guidelines around what foods should and should not be available for children in public schools. British Columbia (BC) has released an updated set of guidelines to be fully in place in schools by the fall of 2014. Each school board and school has a significant amount of freedom to choose how they meet the nutritional guidelines.

This study will focus on 1) ways in which Vancouver public schools, each with their own unique setting, are meeting the guidelines, and 2) how parents, students and other key school staff perceive the new guidelines to gain a better understanding of ways schools can be supported to ensure availability of healthy foods for students. Specific cases of
Vancouver public schools and their progress towards meeting the nutritional guidelines will be examined. I will collect information from key people involved in the development of the guidelines, school administrators, decision-makers, school staff, parents, students, and through spending significant time at each school. The overall aim of this project is to provide insight for municipal and provincial decision-makers into what strategies to improve availability of healthy foods in schools will likely be successful. Only by determining what is working and the challenges schools face in adhering to the nutritional guidelines can this type of intervention serve its full potential and be effective both for children now and in their futures. This research will not only be informative for British Columbia but also for other provinces hoping to develop or improve their own nutritional guidelines.
"
Comparative and integrative cardiorespiratory physiology,"The cardiovascular system, as a critical life support system, plays a key role in how vertebrates tolerate or adapt to diverse ecological niches. My long-term research aim is to define underlying mechanisms and unifying concepts that explain cardiovascular diversity and phenotypic plasticity among lower vertebrates, and especially in fishes. A central question is: What cardiovascular features allow an animal to tolerate a particular environmental condition? The approach uses in vivo and in vitro (organ, tissue and cellular) intervention studies (emphasizing exercise, 02, pH, temperature and pharmacological agents), as well as species comparisons, and reveals much about the animal as a whole, more so if mechanisms setting the limits for maximum cardiac performance are understood. One research theme focuses on why fish stop swimming, especially at warm temperatures. Experiments will test the working hypothesis that 02 supply to the heart becomes limited during extreme exercise, causing fish to stop swimming. Experiments include innovative measurements of 02 in venous blood during swimming and assessments of maximum heart performance under conditions that simulate those occurring in venous blood near fatigue. A second research theme examines cardiovascular regulation when an animal has no 02 (anoxia). Experiments will test the working hypothesis that anoxic turtles switch from central (neural) to local (tissue-specific) cardiovascular controls as they tum down metabolism to pilot light status, whereas anoxic crucian carp maintain normal cardiac activity to avoid both acidosis and ethanol intoxication. The third research theme integrates mechanistic studies of ion trafficking in cardiac cells, seeking answers to how anoxic crucian carp hearts function normally, how anoxic turtles and common carp drastically reduce heart rate, how adrenaline may protect acidotic/hypoxic trout hearts, and why heart rate in fish rarely exceeds 120 bpm. A new emphasis on ion trafficking is important because our work, and that of others, is showing that the modulation of ion trafficking allows lower vertebrates alter cardiac excitability in response to the environmental challenges that they routinely face, and we study."
Understanding individual variability in behaviours associated with illness in animals,"Previous work on humans has illustrated that many of the behaviours shown by ill patients are part of a coordinated strategy to fight disease. The research described in this proposal focuses on adapting these concepts to farm animals. Dairy cattle are an excellent model to study sickness behaviours as they are housed in a highly managed environment and the prevalence of illness is high. My group’s work to date has shown variation among individuals in their behavioural responses to disease. The proposed research borrows from recent advances in the psychology literature on personality in animals (to characterize how individuals differ in response to static test situations), and literature from behavioural ecology on behavioural reaction norms (to characterized how individuals differ in their responses to a variety of exogenous and endogenous stressors related to real-life management of dairy cattle). This overall aim of this proposal is to describe and understand these individual characteristics in cattle. Understanding how individuals differ in their response to illness and other challenges will improving our ability to use these behaviours in identifying sick and at-risk individuals. Thus the specific objectives are: 1) to characterizes the personality dimensions in cattle, 2) to describe behavioural reaction norms for cattle, providing a structure for understanding how different individuals respond to environmental variability, and 3) to determine how an understanding of both personality and behavioural reaction norms can account for individual differences in behaviours expressed by ill cattle and cattle likely to become ill. This research program has the potential to have a profound impact on the care and management of dairy cows and calves; both of which suffer from high rates of illness despite decades of research to date. The findings will form the basis for future practical innovations in care and management of dairy cattle that are aimed at preventing and treating disease."
CFI Infrastructure Operating Fund,"Food safety is a global concern and has significant impact on both public health and economic stability. The
urgency of developing sensitive, high-throughput, and ultrafast tools to detect and characterize foodborne
pathogens is recognized as a primary priority. This proposal requests funds to obtain highly specialized
equipment that will enable the development of a single cell-level platform for detection and characterization
of pathogens in foods and on food contact surfaces. The impact of this research work will be facilitated
by several cutting-edge technologies that include physics, engineering, analytical chemistry, and molecular
biology, working together to further our understanding of foodborne pathogenic bacteria. The requested
infrastructure includes an atomic force microscopy and relevant hardware which can be integrated with the
previously established confocal micro-Raman spectroscopy to conduct “tip-enhanced Raman spectroscopy”.
The equipment identified is essential to establish the only Food Safety Engineering Laboratory of its
kind in Canada. The research program will generate novel insights, leading to research outcomes for the
advanced understanding of pathogenicity and survival mechanisms of pathogenic bacteria in foods. This
new knowledge will be fundamental to promote the development of innovative intervention strategies and
potential therapeutic approaches, collectively reducing the risk of foodborne illnesses in Canada."
Single cell-level platform for detection and characterization of foodborne pathogens,"Food safety is a global concern and has significant impact on both public health and economic stability. The urgency of developing sensitive, high-throughput, and ultrafast tools to detect and characterize foodborne pathogens is recognized as a primary priority. This proposal requests funds to obtain highly specialized equipment that will enable the development of a single cell-level platform for detection and characterization of pathogens in foods and on food contact surfaces. The impact of this research work will be facilitated by several cutting-edge technologies that include physics, engineering, analytical chemistry, and molecular biology, working together to further our understanding of foodborne pathogenic bacteria. The requested infrastructure includes an atomic force microscopy and relevant hardware which can be integrated with the previously established confocal micro-Raman spectroscopy to conduct “tip-enhanced Raman spectroscopy”. The equipment identified is essential to establish the only Food Safety Engineering Laboratory of its kind in Canada. The research program will generate novel insights, leading to research outcomes for the advanced understanding of pathogenicity and survival mechanisms of pathogenic bacteria in foods. This new knowledge will be fundamental to promote the development of innovative intervention strategies and potential therapeutic approaches, collectively reducing the risk of foodborne illnesses in Canada."
Identifying putative bioactive properties of maillard reaction products with definable health benefits,"The Maillard Reaction (MR) contributes to the well-known color, aroma- and taste-properties of processed foods. Carbonyl compounds derived from intermediate-stage products of the MR can also represent diet-derived precursors of advanced glycation end-products (AGEs); the latter of which are thought to potentially contribute to glycoxidative and nitroxidative stresses in vivo. Some studies (including my laboratory) have found strong antioxidant and potential anti-inflammatory activity of MR components in the gut, suggesting a positive role in gut health. Later stage MRPs (e.g. melanoidins) have important antioxidant activity in food systems, and when present in vivo are largely localized to the intestine and excreted. Our work has shown that the MR represents a realistic functional food component that can be derived in simple model systems or from more complex processed food products, such as coffee brews and baked products. The overall focus of this research program will be to continue our work on relating the physico-chemical properties of many Maillard reaction products (MRPs ), based on structural analysis of molecular characteristics, with putative ( e.g. antioxidant, prooxidant, anti-inflammatory, cytotoxicity) activities that are germane to intestinal health. The research program and related projects will build on significant multidisciplinary scientific expertise and have both academic and industrial value. It is anticipated that up to 6 HQPs (3 graduate students and 3 undergraduate students) will be trained on projects that will contribute to defining a risk-benefit understanding of the ubiquitous presence of MRPs in foods."
The science of animal suffering,"Research on quality of life in humans illustrates that assessments of our own well-being are only partially related to what we have. Our sense of agency (how we gain access to the things we value, including our ability to learn about different outcomes and to make informed choices) is also critical. Recent reviews have revealed that agency may be important for the welfare of nonhuman animals. Pain is a key aspect of animal welfare, but until now the effect of agency on the experience of pain in animals has not been studied. My hypothesis is that agency critically affects how pain is experienced. My more provocative claim is that, in the absence of control and predictability, pain is more likely to be considered suffering, a distinction crucial in societal concerns about welfare. I propose a series of experiments with two main goals. The first is to test the prediction that animals will show lower responses to the identical pain stimulus, if tested in situations with i) knowledge of when and where the stimuli will be applied, including specific cues that make the stimuli predictable, and ii) the ability to control exposure (duration and magnitude) to the stimulus. Human patient reports of suffering are often accompanied by depression like states (low mood). I propose that pain in animals is of particular concern if it too causes or is associated with evidence of low mood. I also argue that animals in pain will show less evidence of low mood if living in environments that afford good predictability and control. The proposed studies will include both laboratory rats and dairy cattle, as both animals are subjected to a variety of routine, painful procedures, often under conditions of poor agency, providing a baseline for the proposed studies that can be compared with conditions that provide more information and control. The studies will use a suite of both novel and established measures of pain and mood states in these animals. The proposed experiments will contribute to the basic literature in animal welfare science and on affective states in animals, and may have important implications for our understanding of the welfare of animals kept in laboratory and agricultural systems. This research will provide insights into which procedures and practices are likely to accentuate pain responses, and increase the likelihood that pain is accompanied by low mood in animals. The development of a conceptual framework and methodology for the scientific assessment of suffering in animals will help inspire new research directed at harms experienced by animals under our care. The funds will go toward training of young scientists to help meet a growing demand for academics and professionals with expertise in animal welfare research."
Reducing Salmonella and Camplyobacter contamination of poultry,"Campylobacter and Salmonella species are the most common, culture-proven causes of bacterial gastroenteritis worldwide. Poultry products are the major reservoir and are the most commonly implicated foods for both Campylobacter and Salmonella infections in humans. The contaminated chicken products cause a huge economic loss to poultry industry in Canada. The goal of this proposal is to reduce the load of both Campylobacter jejuni and Salmonella enterica serovar Typhimurium (S. typhimurium) in the digestive tract of chickens using different methods. Garlic-derived organosulfur compounds will be identified and the treatment to either chicken house or chickens with the microencapsulated sulfur compounds will reduce the numbers of broilers colonized with C. jejuni and Salmonella. Further, a de nova approach will be developed to identify lactobacilli with probiotic activity to decrease or reduce the load of C. jejuni and S. typhimurium in the intestines of chickens. Finally, we will construct an engineered Lactobacillus bacteria strain that displays immunogenic epitopes of C. jejuni and S. typhimurium colonization associated proteins. This vaccine strain will stimulate the production of protective antibodies, resulting in a reduction in pathogen colonization. In sum, these developed intervention strategies will be important to reduce the occurrence of both Campylobacter and Salmonella in chickens. The technology developed in this research project will be patented and licensed to biotechnology and poultry companies in Canada."
Research support,"Applied projects in the Insect Toxicology Laboratory focus on the discovery and development of botanical insecticides, including isolation and identification of active principles from plants, investigation of mechanisms of action and metabolism in insects, and effects on natural enemies. Current projects are based on plant essential oils and greenhouse pests, and toxicity of extractives from Brazilian plants. 

Basic projects in the Laboratory focus on learning and memory in insects, specifically on habituation in pest insects and the persistence of memory through metamorphosis. The role of chemosensory organs and nerves will be explored using the cabbage looper as a model insect.
"
Carbon sequestration and greenhouse gas emissions in forests and wetlands in Western Canada,"The goal of my research is to better understand the processes controlling CO2, water vapour, N2O, and CH4 fluxes above forests and wetlands in Western Canada following disturbances. These disturbances may be further exacerbated by interannual climate variability. This research is to advance the development of technology and policy to better manage terrestrial ecosystems to increase C sequestration, minimize GHG emissions and the impacts of climate change while maximizing productivity and water use efficiency. Net ecosystem productivity (NEP), evapotranspiration (ET) and other greenhouse gas (GHG) fluxes will be measured using the eddy-covariance (EC) technique. I will also use automated and manual chamber measurements to quantify the temporal and spatial variability of soil GHG fluxes, and assess the reliability of scaling up chamber measurements to stand level. One of my aims will be to measure, over the next 3-5 years, NEP and ecosystem-scale N2O fluxes in a 28-yr-old Douglas-fir stand following urea fertilization in 2017, which is consistent with recommended silvicultural practices for this stand age following crown closure. In my research on the impact of mountain pine beetle infestation on BC Interior lodgepole pine stands, I will refine the 3-PG model to predict the recovery of NEP and ET at the landscape scale, and also determine the expected rise in ecosystem respiration as a result of dead trees falling at an increased rate. The main aims of my hybrid poplar (HP) research in the Aspen parkland are to determine NEP and ET of HP plantations, their sustainability with respect to precipitation, and the effect of the silvicultural practice of planting a white spruce understory in an HP plantation on NEP and ET. The objective of my research at our southern boreal Old Aspen site is to determine the impact of a severe tent caterpillar attack in the spring of 2016 on NEP and ET over the following two years. The focus of my research at our southern boreal Old Black Spruce site will be the measurement of CH4 fluxes, which will enable us to determine whether CH4 emissions will result in the stand becoming a net GHG source considering that it is a weak carbon sink. At an urban bog site, I will make EC-measurements of water vapor, CO2 and CH4 fluxes to study the progression of these fluxes as the bog undergoes restoration by rewetting. This research will provide an excellent training environment for highly qualified personnel."
Behavioural strategies in dairy cattle coping with illness,"Improvements in genetics and nutrition result in a 2-3% increase in milk production per cow per year.
However, this increased production has put extra demands on the cow, leading to an increased incidence of infectious and metabolic disease and higher rates of involuntary culling. Despite decades of nutritional and epidemiological work, the incidence of disease in lactating dairy cattle remains excessively high, underscoring the need for a more comprehensive understanding of biological mechanisms associated with illness as well as the behavioural signs that can aid in early recognition and treatment. The long-term objective of this research is to develop a fundamental understanding of sickness behaviour of dairy cattle suffering from infectious and metabolic diseases. This information is vital if we are to find ways of reducing morbidity in these animals. This research program will be unique in that it will be the first to describe the spectrum of sickness behaviours in dairy cattle suffering from infectious and metabolic diseases and how stress, both social and physical, affect the expression of these behaviours. This research program will also be the first to ascertain if pregnancy and parturition increase the susceptibility of dairy cows to illness, thereby causing an increase in the expression of sickness behaviours and the incidence of clinical illness.
"
